generation,n_valid,n_invalid,gen_time_sec,fidelity_min,fidelity_max,fidelity_mean,fidelity_std,fidelity_median,fidelity_mad,gate_eff_min,gate_eff_max,gate_eff_mean,gate_eff_std,gate_eff_median,gate_eff_mad,depth_eff_min,depth_eff_max,depth_eff_mean,depth_eff_std,depth_eff_median,depth_eff_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
0,257,43,773.59,0.0026,0.5077,0.151242,0.115749,0.1278,0.077,0.0,0.92,0.433074,0.318798,0.525,0.295,0.0,0.946667,0.461323,0.329669,0.553333,0.306667,223,0.8677,3.6923,13.782921
1,235,65,278.61,0.0018,0.5167,0.242106,0.159875,0.2922,0.1637,0.0,0.905,0.543213,0.275361,0.615,0.205,0.0,0.926667,0.576482,0.279039,0.653333,0.206667,177,0.7532,3.6833,11.625809
2,251,49,327.53,0.0018,0.5167,0.185587,0.131528,0.1568,0.0914,0.0,0.905,0.542789,0.287576,0.64,0.18,0.0,0.926667,0.578513,0.292089,0.666667,0.193333,215,0.8566,3.6833,12.628915
3,278,22,360.74,0.002,0.5294,0.22822,0.155235,0.1635,0.12055,0.0,0.905,0.496493,0.278096,0.575,0.22,0.0,0.926667,0.535923,0.289327,0.62,0.233333,235,0.8453,2.4106,12.761492
4,281,19,351.85,0.0017,0.9345,0.232596,0.164075,0.1708,0.1287,0.0,0.905,0.542509,0.265902,0.645,0.15,0.0,0.926667,0.584697,0.274288,0.673333,0.18,251,0.8932,1.1693,12.404343
5,282,18,359.76,0.0015,0.9517,0.301461,0.307455,0.1486,0.135,0.0,0.905,0.496684,0.246196,0.495,0.18,0.0,0.926667,0.536194,0.252166,0.546667,0.18,229,0.8121,1.1568,10.004283
6,267,33,356.93,0.0009,0.9575,0.255264,0.263505,0.1282,0.1161,0.0,0.905,0.532434,0.249881,0.57,0.205,0.0,0.933333,0.56809,0.257313,0.613333,0.213333,238,0.8914,1.1511,10.41335
7,246,54,325.42,0.0009,0.9575,0.376825,0.383654,0.16735,0.15665,0.0,0.905,0.592215,0.164446,0.63,0.09,0.0,0.933333,0.614092,0.16018,0.66,0.066667,208,0.8455,1.1048,9.169029
8,252,48,300.34,0.0015,0.9594,0.260651,0.28072,0.13065,0.11385,0.07,0.945,0.697956,0.170313,0.715,0.1275,0.053333,0.973333,0.726852,0.171568,0.726667,0.146666,203,0.8056,1.1048,10.638
9,239,61,323.91,0.0006,0.9575,0.226649,0.264673,0.1272,0.1158,0.0,0.945,0.700607,0.17408,0.72,0.12,0.0,0.973333,0.729177,0.177706,0.726667,0.146666,217,0.9079,1.1048,10.799962
10,253,47,313.97,0.0013,0.9581,0.252116,0.276648,0.1315,0.1143,0.175,0.945,0.687885,0.173024,0.71,0.15,0.213333,0.973333,0.715652,0.174896,0.726667,0.146667,232,0.917,0.9231,10.691995
11,292,8,388.04,0.0006,0.9581,0.250196,0.254912,0.12965,0.11845,0.015,0.93,0.665497,0.21795,0.715,0.175,0.073333,0.953333,0.693562,0.215706,0.726667,0.193333,253,0.8664,0.9207,9.930283
12,291,9,366.26,0.0002,0.9572,0.248501,0.248082,0.128,0.1195,0.0,0.95,0.644519,0.238443,0.705,0.185,0.0,0.973333,0.674387,0.236183,0.726667,0.193333,251,0.8625,0.8682,9.805726
13,293,7,377.17,0.002,0.9603,0.263481,0.256945,0.1593,0.1236,0.0,0.94,0.643908,0.232117,0.695,0.19,0.0,0.973333,0.674608,0.229924,0.726667,0.193333,266,0.9078,0.8682,9.779386
14,289,11,388.65,0.001,0.9568,0.234029,0.229958,0.1284,0.1176,0.0,0.95,0.653028,0.249804,0.71,0.185,0.0,0.973333,0.684729,0.247699,0.733333,0.186667,271,0.9377,0.8674,10.032615
15,294,6,352.47,0.0011,0.9576,0.312615,0.282272,0.2394,0.21945,0.0,0.925,0.666735,0.24131,0.715,0.18,0.0,0.946667,0.698322,0.237538,0.74,0.18,259,0.881,0.8674,9.012623
16,298,2,395.16,0.001,0.9574,0.23403,0.218045,0.1558,0.1005,0.0,0.935,0.626812,0.25671,0.69,0.195,0.0,0.96,0.661051,0.254555,0.72,0.2,281,0.943,0.8674,10.63201
17,291,9,368.98,0.0016,0.9545,0.286541,0.252815,0.2295,0.1886,0.0,0.94,0.671632,0.227658,0.71,0.175,0.0,0.966667,0.705178,0.225281,0.746667,0.173333,268,0.921,0.8674,9.639095
18,294,6,381.18,0.0004,0.9545,0.261874,0.230108,0.1684,0.1032,0.0,0.94,0.659014,0.244788,0.695,0.195,0.0,0.96,0.692018,0.24485,0.726667,0.193333,269,0.915,0.8674,9.780031
19,295,5,365.81,0.0012,0.9545,0.30328,0.264431,0.2337,0.1872,0.0,0.94,0.657915,0.240722,0.7,0.19,0.0,0.973333,0.692203,0.238819,0.726667,0.193333,270,0.9153,0.8674,9.261126
20,298,2,377.88,0.0016,0.9551,0.271371,0.264481,0.17,0.0839,0.0,0.94,0.626997,0.253612,0.67,0.215,0.0,0.96,0.66094,0.253435,0.696666,0.216666,274,0.9195,0.5507,9.872186
21,300,0,403.08,0.0016,0.9745,0.35535,0.342473,0.23755,0.1879,0.0,0.955,0.664867,0.231553,0.71,0.16,0.0,0.973333,0.694756,0.23317,0.726667,0.173333,266,0.8867,0.5502,9.46545
22,300,0,408.8,0.0013,0.9745,0.344489,0.337108,0.23155,0.16425,0.0,0.95,0.674167,0.25679,0.8225,0.0775,0.0,0.973333,0.705822,0.257956,0.853333,0.08,268,0.8933,0.5306,9.470778
23,300,0,391.35,0.0015,0.9719,0.365982,0.353352,0.23745,0.21975,0.0,0.925,0.71445,0.234357,0.85,0.035,0.0,0.946667,0.745733,0.235864,0.886667,0.033333,258,0.86,0.5281,8.786418
24,300,0,412.11,0.0014,0.9748,0.250945,0.24139,0.18825,0.1508,0.0,0.94,0.673917,0.252555,0.81,0.095,0.0,0.973333,0.704933,0.254568,0.84,0.093333,276,0.92,0.5252,10.664455
