generation,n_valid,n_invalid,gen_time_sec,fidelity_min,fidelity_max,fidelity_mean,fidelity_std,fidelity_median,fidelity_mad,gate_eff_min,gate_eff_max,gate_eff_mean,gate_eff_std,gate_eff_median,gate_eff_mad,depth_eff_min,depth_eff_max,depth_eff_mean,depth_eff_std,depth_eff_median,depth_eff_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
0,244,56,750.19,0.0038,0.5601,0.135073,0.069838,0.12485,0.00285,0.0,0.925,0.739426,0.20085,0.79,0.0,0.0,0.953333,0.740191,0.204791,0.773333,0.0,188,0.7705,1.0492,11.803124
1,266,34,320.32,0.0011,0.5719,0.15305,0.110407,0.1256,0.0036,0.0,0.925,0.791654,0.198449,0.855,0.06,0.0,0.953333,0.808271,0.203599,0.886667,0.066666,222,0.8346,1.0457,11.309131
2,264,36,298.19,0.001,0.5719,0.152813,0.108007,0.1258,0.0038,0.0,0.925,0.796761,0.214377,0.91,0.01,0.0,0.953333,0.823081,0.223919,0.94,0.013333,226,0.8561,1.0457,11.263399
3,264,36,308.07,0.001,0.5562,0.1802,0.133568,0.12675,0.00595,0.0,0.925,0.819773,0.195672,0.905,0.02,0.0,0.953333,0.846944,0.203792,0.94,0.013333,230,0.8712,1.0443,10.550633
4,275,25,329.08,0.0019,0.5562,0.217495,0.163808,0.1283,0.0763,0.0,0.94,0.787891,0.222601,0.865,0.05,0.0,0.973333,0.813454,0.2318,0.893333,0.06,239,0.8691,1.0339,9.700468
5,273,27,334.7,0.0009,0.4996,0.246121,0.182193,0.1315,0.1154,0.0,0.935,0.772399,0.220014,0.865,0.05,0.0,0.966667,0.797656,0.226641,0.893333,0.06,245,0.8974,1.0297,8.904135
6,265,35,316.46,0.0009,0.5019,0.27439,0.185907,0.2351,0.1819,0.0,0.94,0.764717,0.205563,0.865,0.05,0.0,0.973333,0.789082,0.212559,0.893333,0.046666,224,0.8453,1.0257,8.029157
7,288,12,338.92,0.001,0.5016,0.300274,0.195761,0.4269,0.07455,0.0,0.94,0.772378,0.196069,0.865,0.005,0.0,0.973333,0.795671,0.202832,0.893333,0.006667,243,0.8438,1.0227,6.872088
8,286,14,357.95,0.0005,0.5045,0.300836,0.200498,0.4713,0.0298,0.0,0.94,0.744755,0.215021,0.865,0.005,0.0,0.973333,0.766597,0.222884,0.893333,0.006667,255,0.8916,1.0186,7.004338
9,292,8,349.39,0.0012,0.5048,0.31426,0.195976,0.4774,0.01985,0.0,0.94,0.728271,0.22098,0.8625,0.0075,0.0,0.973333,0.750251,0.227356,0.89,0.01,252,0.863,1.0128,7.034645
10,290,10,337.19,0.0015,0.5045,0.324172,0.193547,0.4798,0.01745,0.0,0.915,0.734328,0.215699,0.865,0.005,0.0,0.953333,0.756919,0.222768,0.893333,0.006667,244,0.8414,1.0092,6.843621
11,288,12,350.14,0.0012,0.5048,0.320465,0.196032,0.4808,0.0165,0.0,0.94,0.746927,0.193368,0.865,0.01,0.0,0.973333,0.768958,0.199606,0.893333,0.006667,250,0.8681,1.0054,6.667591
12,279,21,328.73,0.0035,0.9729,0.331306,0.194243,0.4798,0.0171,0.0,0.94,0.739713,0.220151,0.87,0.01,0.0,0.973333,0.761577,0.226701,0.9,0.0,224,0.8029,0.4871,6.806615
13,284,16,345.14,0.0011,0.9729,0.310151,0.215791,0.46265,0.19675,0.0,0.94,0.754665,0.174171,0.86,0.025,0.0,0.973333,0.777723,0.176735,0.893333,0.013333,243,0.8556,0.4871,7.074356
14,288,12,366.39,0.0017,0.9729,0.309551,0.223607,0.2527,0.23055,0.0,0.94,0.732743,0.205486,0.8525,0.05,0.0,0.973333,0.753125,0.211139,0.893333,0.046667,264,0.9167,0.4871,7.534755
15,290,10,357.33,0.0032,0.9749,0.351073,0.232436,0.47845,0.01975,0.0,0.94,0.752793,0.181371,0.87,0.025,0.0,0.973333,0.774598,0.186091,0.9,0.026667,261,0.9,0.4851,6.902582
16,289,11,361.3,0.0018,0.9749,0.334518,0.243449,0.4724,0.2239,0.0,0.94,0.775121,0.1791,0.87,0.025,0.0,0.973333,0.797047,0.18393,0.9,0.026667,258,0.8927,0.4851,6.96396
17,296,4,358.93,0.0051,0.9749,0.354231,0.269573,0.47425,0.2327,0.0,0.935,0.741993,0.20796,0.865,0.03,0.0,0.966667,0.764257,0.211876,0.893333,0.033334,256,0.8649,0.4851,7.106918
18,294,6,339.32,0.0008,0.9749,0.384969,0.304589,0.479,0.3511,0.0,0.94,0.742908,0.216596,0.87,0.025,0.0,0.973333,0.764082,0.219411,0.893333,0.033334,245,0.8333,0.4454,6.848296
19,295,5,381.72,0.0016,0.9749,0.388776,0.316751,0.4095,0.2828,0.0,0.945,0.729949,0.224639,0.865,0.03,0.0,0.973333,0.752904,0.224539,0.893333,0.033334,259,0.878,0.4454,7.2178
20,294,6,365.77,0.0007,0.976,0.409115,0.318496,0.4719,0.34375,0.0,0.915,0.745221,0.200504,0.8625,0.0325,0.0,0.953333,0.767234,0.202097,0.893333,0.033334,263,0.8946,0.428,7.212654
21,294,6,382.52,0.0005,0.9761,0.416435,0.33251,0.47375,0.347,0.0,0.94,0.729507,0.219842,0.855,0.04,0.0,0.973333,0.754535,0.216418,0.893333,0.033334,264,0.898,0.4274,6.988259
22,298,2,364.78,0.0035,0.9761,0.433302,0.348538,0.4755,0.35035,0.0,0.945,0.739279,0.210074,0.865,0.035,0.0,0.973333,0.76038,0.211382,0.893333,0.033334,265,0.8893,0.4261,6.896832
23,298,2,386.16,0.002,0.9761,0.416437,0.346913,0.25495,0.2296,0.0,0.945,0.723356,0.221921,0.855,0.045,0.0,0.973333,0.74745,0.222026,0.886667,0.04,269,0.9027,0.4246,7.59853
24,296,4,375.79,0.0021,0.9761,0.446826,0.367113,0.4714,0.34875,0.0,0.9,0.717922,0.216897,0.8125,0.0825,0.0,0.926667,0.741734,0.215332,0.85,0.076667,267,0.902,0.4246,7.068039
25,296,4,369.0,0.0009,0.9777,0.430298,0.380798,0.24895,0.2364,0.0,0.915,0.724122,0.207805,0.81,0.09,0.0,0.953333,0.746757,0.210714,0.84,0.086667,267,0.902,0.4223,7.463148
26,297,3,378.75,0.0023,0.9777,0.469283,0.377994,0.4739,0.3537,0.0,0.92,0.72569,0.203015,0.785,0.115,0.0,0.953333,0.746465,0.204569,0.813333,0.113334,269,0.9057,0.4223,6.965465
27,300,0,382.1,0.0026,0.9777,0.499071,0.398453,0.4836,0.4612,0.0,0.94,0.739783,0.204658,0.8425,0.0575,0.0,0.973333,0.760756,0.209347,0.876667,0.050001,259,0.8633,0.4223,6.432462
28,299,1,396.5,0.0011,0.9777,0.457715,0.385442,0.4704,0.4553,0.0,0.94,0.71495,0.205097,0.77,0.12,0.0,0.973333,0.734827,0.209017,0.78,0.126667,277,0.9264,0.4223,7.184091
29,299,1,357.47,0.001,0.9777,0.500136,0.392223,0.4828,0.4646,0.0,0.94,0.734983,0.206864,0.855,0.045,0.0,0.973333,0.754961,0.21242,0.88,0.046667,263,0.8796,0.4223,6.291837
30,300,0,380.08,0.001,0.9777,0.472167,0.382656,0.4732,0.35435,0.0,0.94,0.719533,0.212678,0.7775,0.1225,0.0,0.973333,0.738911,0.215913,0.816667,0.11,270,0.9,0.4223,7.031699
