generation,n_valid,n_invalid,gen_time_sec,p000_min,p000_max,p000_mean,p000_std,p000_median,p000_mad,p001_min,p001_max,p001_mean,p001_std,p001_median,p001_mad,p010_min,p010_max,p010_mean,p010_std,p010_median,p010_mad,p011_min,p011_max,p011_mean,p011_std,p011_median,p011_mad,p100_min,p100_max,p100_mean,p100_std,p100_median,p100_mad,p101_min,p101_max,p101_mean,p101_std,p101_median,p101_mad,p110_min,p110_max,p110_mean,p110_std,p110_median,p110_mad,p111_min,p111_max,p111_mean,p111_std,p111_median,p111_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
0,259,41,776.46,0.0043,0.4824,0.11185,0.119497,0.0911,0.0387,0.0019,0.4747,0.089801,0.096822,0.0657,0.0568,0.0027,0.5402,0.147422,0.134946,0.1238,0.0383,0.0017,0.5495,0.095812,0.08926,0.0982,0.031,0.0045,0.5341,0.152142,0.133719,0.1248,0.047,0.005,0.4847,0.111348,0.106786,0.1192,0.0505,0.0054,0.5415,0.176685,0.161215,0.1246,0.0572,0.004,0.5398,0.114941,0.116727,0.1206,0.048,231,0.8919,2.3052,13.709538
1,291,9,370.26,0.0044,0.483,0.097947,0.099581,0.0711,0.0528,0.0036,0.5288,0.0886,0.079625,0.0677,0.0554,0.0018,0.5614,0.157878,0.144577,0.1228,0.0517,0.0017,0.5495,0.110193,0.096981,0.1075,0.0387,0.006,0.541,0.140071,0.126793,0.122,0.0502,0.005,0.5303,0.115334,0.104551,0.1069,0.0371,0.004,0.5674,0.150005,0.150209,0.1198,0.055,0.005,0.5348,0.13997,0.14334,0.1187,0.0521,259,0.89,1.8919,13.445459
2,292,8,406.61,0.0049,0.4936,0.096198,0.098157,0.0744,0.0501,0.0044,0.9096,0.117051,0.125731,0.11185,0.0447,0.0044,0.5633,0.136537,0.12622,0.1206,0.03755,0.0048,0.5793,0.118115,0.103844,0.1188,0.0474,0.0056,0.5463,0.144672,0.129038,0.12445,0.0428,0.0049,0.5303,0.115578,0.108234,0.11325,0.04165,0.0048,0.5781,0.16145,0.157825,0.1216,0.0539,0.0045,0.5366,0.110399,0.106392,0.09145,0.03475,281,0.9623,1.8919,13.973505
3,297,3,398.74,0.0042,0.5324,0.102633,0.104639,0.0692,0.0542,0.004,0.9153,0.118578,0.171863,0.068,0.0545,0.0035,0.5969,0.135144,0.125639,0.1214,0.0416,0.0051,0.5793,0.12558,0.117529,0.1189,0.0495,0.0057,0.9125,0.143348,0.134987,0.1224,0.0529,0.0062,0.5393,0.116176,0.110356,0.097,0.0314,0.004,0.5799,0.141546,0.145823,0.0994,0.0359,0.0046,0.5375,0.116993,0.121196,0.0841,0.0407,286,0.963,1.8466,13.651223
4,298,2,374.34,0.0046,0.9228,0.108755,0.130207,0.0694,0.055,0.004,0.9153,0.112557,0.155292,0.0721,0.05225,0.0035,0.5969,0.119113,0.12186,0.1155,0.0473,0.0031,0.585,0.119707,0.121678,0.1161,0.0479,0.0048,0.9135,0.135437,0.168213,0.1203,0.05,0.0041,0.5802,0.127061,0.128683,0.1165,0.0484,0.0038,0.579,0.15353,0.161988,0.1085,0.0434,0.0038,0.9158,0.123841,0.140645,0.091,0.0376,270,0.906,1.8466,13.142401
5,297,3,404.12,0.0041,0.925,0.131514,0.188581,0.1036,0.0396,0.0039,0.9233,0.113477,0.151033,0.0929,0.0365,0.0033,0.9232,0.112153,0.13472,0.0943,0.0341,0.0037,0.9225,0.116334,0.131891,0.1061,0.0385,0.0044,0.9131,0.1367,0.179234,0.1204,0.0494,0.0046,0.9228,0.122983,0.13747,0.1153,0.0497,0.0036,0.5894,0.138296,0.151526,0.1144,0.0554,0.0037,0.9204,0.128543,0.172547,0.1081,0.0417,291,0.9798,1.8466,13.731794
6,300,0,416.25,0.0025,0.9248,0.111678,0.155388,0.0767,0.05285,0.0034,0.9255,0.122174,0.187869,0.08075,0.0505,0.0028,0.9279,0.132806,0.169861,0.12155,0.0512,0.0036,0.9235,0.1203,0.17239,0.1032,0.04125,0.0034,0.9233,0.127498,0.175259,0.1197,0.0511,0.0033,0.9298,0.116651,0.15688,0.08335,0.04425,0.0039,0.582,0.127518,0.152857,0.08295,0.05405,0.0031,0.9195,0.141376,0.201938,0.11645,0.06515,292,0.9733,1.8466,13.706891
7,300,0,420.55,0.0042,0.9225,0.122242,0.172028,0.09055,0.04425,0.0037,0.9255,0.116374,0.166881,0.09225,0.0384,0.0036,0.9257,0.138644,0.181233,0.1205,0.04625,0.0032,0.9231,0.126639,0.157926,0.1197,0.0527,0.0038,0.9265,0.116494,0.167995,0.089,0.04055,0.0041,0.9269,0.119969,0.167517,0.08585,0.04215,0.0035,0.9206,0.137302,0.153322,0.1216,0.07185,0.0034,0.918,0.122336,0.168214,0.1159,0.05825,294,0.98,1.8466,13.886864
8,300,0,422.94,0.0037,0.9271,0.12862,0.194856,0.07845,0.053,0.0035,0.9232,0.115073,0.175531,0.0801,0.0521,0.0035,0.9257,0.163485,0.222116,0.122,0.0769,0.0028,0.9243,0.121055,0.18769,0.07945,0.05365,0.0038,0.926,0.113547,0.169067,0.08355,0.04775,0.0031,0.9255,0.10697,0.156306,0.07015,0.05745,0.0035,0.9249,0.137157,0.188258,0.11525,0.08845,0.003,0.9176,0.114093,0.172007,0.0814,0.0602,296,0.9867,1.8466,13.933241
9,300,0,417.12,0.0036,0.9271,0.114817,0.175105,0.0777,0.0523,0.0035,0.9272,0.12853,0.200403,0.1098,0.0824,0.0037,0.9251,0.145586,0.200798,0.12145,0.09485,0.0037,0.9249,0.120999,0.184553,0.10655,0.07155,0.0038,0.9265,0.130041,0.199265,0.11935,0.05865,0.0034,0.9248,0.122471,0.184862,0.11925,0.0693,0.0032,0.9258,0.111,0.157131,0.07865,0.0527,0.0028,0.9238,0.126555,0.18544,0.11775,0.08665,293,0.9767,1.8466,13.583911
