arm,state,seed,job_id,timestamp,p_marked_hw,sim_fid_deployed,delta_sim_minus_hw,transpiled_gates,transpiled_depth,total_shots,fitness_evolution,fitness_hardware
epsilon_lexicase,000,47182,da792h46l22c73dn9u8g,2026-08-26T07:09:46+00:00,0.991800,0.989800,-0.002000,3,1,10000,0.070200,0.068200
epsilon_lexicase,001,12147,da792lu0ukec73830nag,2026-08-26T07:10:06+00:00,0.991000,0.990100,-0.000900,4,2,10000,0.089900,0.089000
epsilon_lexicase,010,33537,da792qe0ukec73830ngg,2026-08-26T07:10:25+00:00,0.973100,0.981800,0.008700,8,5,10000,0.178200,0.186900
epsilon_lexicase,011,47182,da792v60ukec73830nqg,2026-08-26T07:10:43+00:00,0.973300,0.980100,0.006800,8,4,10000,0.179900,0.186700
epsilon_lexicase,100,29440,da7933usidac73af3490,2026-08-26T07:11:02+00:00,0.980600,0.988100,0.007500,8,5,10000,0.171900,0.179400
epsilon_lexicase,101,80248,da7938m0ukec73830oeg,2026-08-26T07:11:21+00:00,0.985300,0.989500,0.004200,6,3,10000,0.130500,0.134700
epsilon_lexicase,110,33537,da793dc6l22c73dn9vf0,2026-08-26T07:11:39+00:00,0.984000,0.985900,0.001900,6,2,10000,0.134100,0.136000
epsilon_lexicase,111,12147,da793husidac73af34t0,2026-08-26T07:11:59+00:00,0.930400,0.981400,0.051000,19,10,10000,0.398600,0.449600
tournament,000,80248,da793mbsq5js73bjlsg0,2026-08-26T07:12:17+00:00,0.989400,0.989500,0.000100,3,1,10000,0.070500,0.070600
tournament,001,80248,da793qs6l22c73dna02g,2026-08-26T07:12:35+00:00,0.983300,0.988100,0.004800,5,2,10000,0.111900,0.116700
tournament,010,80248,da79416sidac73af35j0,2026-08-26T08:13:21.442062,0.981800,0.984600,0.002800,5,3,10000,0.115400,0.118200
tournament,011,70300,da7946esidac73af35og,2026-08-26T08:13:40.530564,0.923900,0.979700,0.055800,22,15,10000,0.460300,0.516100
tournament,100,80248,da794be0ukec73830pog,2026-08-26T08:13:58.346179,0.984400,0.988300,0.003900,4,2,10000,0.091700,0.095600
tournament,101,47182,da794fs6l22c73dna0tg,2026-08-26T08:14:17.455778,0.965800,0.981900,0.016100,12,7,10000,0.178100,0.274200
tournament,110,12147,da794kjsq5js73bjltkg,2026-08-26T08:14:35.776664,0.968700,0.979300,0.010600,10,6,10000,0.220700,0.231300
tournament,111,67154,da794p46l22c73dna1cg,2026-08-26T08:14:54.447138,0.968000,0.979400,0.011400,8,5,10000,0.180600,0.192000
