generation,overall_fire_rate,converged_fire_rate,nonconverged_fire_rate,n_runs,n_converged,n_nonconverged
0,0.013796,0.014351,0.012575,80,55,25
1,0.432901,0.433992,0.430502,80,55,25
2,0.545318,0.534205,0.569766,80,55,25
3,0.630644,0.630222,0.631572,80,55,25
4,0.676254,0.691639,0.642408,80,55,25
5,0.666263,0.681180,0.633445,80,55,25
6,0.700502,0.720705,0.656054,80,55,25
7,0.737333,0.771481,0.662207,80,55,25
8,0.778470,0.816966,0.693779,80,55,25
9,0.786120,0.827303,0.695518,80,55,25
10,0.787584,0.823107,0.709431,80,55,25
11,0.825502,0.862755,0.743545,80,55,25
12,0.829599,0.868106,0.744883,80,55,25
13,0.841931,0.870964,0.778060,80,55,25
14,0.843227,0.878626,0.765351,80,55,25
15,0.865761,0.905564,0.778194,80,55,25
16,0.877455,0.909636,0.809231,78,53,25
17,0.874517,0.899344,0.822876,77,52,25
18,0.890732,0.910289,0.850836,76,51,25
19,0.881516,0.908829,0.826890,75,50,25
20,0.891951,0.929231,0.817391,75,50,25
21,0.900825,0.934448,0.833579,75,50,25
22,0.905759,0.946976,0.826622,73,48,25
23,0.916713,0.950117,0.853913,72,47,25
24,0.893720,0.916388,0.851104,72,47,25
25,0.898086,0.938447,0.822207,72,47,25
26,0.879453,0.898677,0.845619,69,44,25
27,0.863409,0.901794,0.795853,69,44,25
28,0.909166,0.950213,0.836923,69,44,25
29,0.886997,0.921853,0.829833,66,41,25
30,0.901775,0.940719,0.839465,65,40,25
31,0.894018,0.934318,0.835987,61,36,25
32,0.890266,0.926421,0.842542,58,33,25
33,0.893611,0.931286,0.843880,58,33,25
34,0.887303,0.922753,0.843344,56,31,25
35,0.914016,0.951839,0.868629,55,30,25
36,0.896817,0.927229,0.861538,54,29,25
37,0.894288,0.928865,0.858328,51,26,25
38,0.910502,0.936589,0.884415,50,25,25
39,0.901986,0.963907,0.842542,49,24,25
40,0.917260,0.954611,0.885886,46,21,25
41,0.889778,0.948240,0.840669,46,21,25
42,0.890868,0.939799,0.849766,46,21,25
43,0.894909,0.953512,0.848027,45,20,25
44,0.917503,0.966555,0.878261,45,20,25
45,0.923077,0.974582,0.881873,45,20,25
46,0.929276,0.975334,0.899799,41,16,25
47,0.916555,0.973021,0.882676,40,15,25
48,0.905298,0.971958,0.870635,38,13,25
49,0.907411,0.973244,0.873177,38,13,25
50,0.912501,0.988016,0.876254,37,12,25
51,0.898490,0.934225,0.881338,37,12,25
52,0.917925,0.975753,0.890167,37,12,25
53,0.896050,0.865385,0.910769,37,12,25
54,0.880412,0.891026,0.875318,37,12,25
55,0.895146,0.951226,0.868227,37,12,25
56,0.919552,0.940078,0.909699,37,12,25
57,0.926421,0.951505,0.916388,35,10,25
58,0.913142,0.915645,0.912241,34,9,25
59,0.927897,0.960609,0.916120,34,9,25
60,0.911118,0.960284,0.895385,33,8,25
61,0.901756,0.925466,0.895117,32,7,25
62,0.927780,0.961777,0.918261,32,7,25
63,0.920882,0.978978,0.904615,32,7,25
64,0.898216,0.972575,0.883344,30,5,25
65,0.921232,1.000000,0.908629,29,4,25
66,0.912928,1.000000,0.898997,29,4,25
67,0.916849,1.000000,0.903545,29,4,25
68,0.945891,1.000000,0.939398,28,3,25
69,0.919135,1.000000,0.909431,28,3,25
70,0.898591,1.000000,0.886421,28,3,25
71,0.900263,1.000000,0.888294,28,3,25
72,0.899904,0.956522,0.893110,28,3,25
73,0.886168,1.000000,0.872508,28,3,25
74,0.910177,1.000000,0.899398,28,3,25
75,0.929885,1.000000,0.921472,28,3,25
76,0.890004,1.000000,0.881204,27,2,25
77,0.902267,1.000000,0.894448,27,2,25
78,0.876750,1.000000,0.866890,27,2,25
79,0.895330,1.000000,0.886957,27,2,25
80,0.923944,1.000000,0.917860,27,2,25
81,0.913415,1.000000,0.906488,27,2,25
82,0.904620,1.000000,0.896990,27,2,25
83,0.887155,0.964883,0.880936,27,2,25
84,0.916140,1.000000,0.909431,27,2,25
85,0.926545,1.000000,0.920669,27,2,25
86,0.896197,0.944816,0.892308,27,2,25
87,0.910085,1.000000,0.906488,26,1,25
88,0.891433,1.000000,0.887090,26,1,25
89,0.917160,0.886288,0.918395,26,1,25
90,0.858889,1.000000,0.853244,26,1,25
91,0.899532,nan,0.899532,25,0,25
92,0.921338,nan,0.921338,25,0,25
93,0.878930,nan,0.878930,25,0,25
94,0.904615,nan,0.904615,25,0,25
95,0.890836,nan,0.890836,25,0,25
96,0.884415,nan,0.884415,25,0,25
97,0.895385,nan,0.895385,25,0,25
98,0.902609,nan,0.902609,25,0,25
99,0.908227,nan,0.908227,25,0,25
