arm,state,seed,run_id,fidelity,gate_count,depth,two_qubit_gates,raw_two_qubit_gates,raw_gate_count,raw_depth,raw_fitness,stop_reason,early_stopped_gen
epsilon_lexicase,000,21315,1,0.9738,20,10,4,8,45,23,0.4262,"Hardware targets achieved: fidelity=0.974, gates=20, depth=10",43
epsilon_lexicase,000,74135,6,0.9893,4,2,0,6,34,19,0.09070000000000004,"Hardware targets achieved: fidelity=0.989, gates=4, depth=2",26
epsilon_lexicase,000,91197,9,0.9802,7,4,1,3,31,16,0.15980000000000005,"Hardware targets achieved: fidelity=0.980, gates=7, depth=4",15
epsilon_lexicase,000,33537,4,0.9738,16,10,4,4,41,19,0.3462,"Hardware targets achieved: fidelity=0.974, gates=16, depth=10",31
epsilon_lexicase,000,12147,3,0.9787,10,6,2,3,29,13,0.2213,"Hardware targets achieved: fidelity=0.979, gates=10, depth=6",17
epsilon_lexicase,000,67154,7,0.9798,11,5,2,2,25,11,0.2402,"Hardware targets achieved: fidelity=0.980, gates=11, depth=5",15
epsilon_lexicase,000,70300,5,0.978,10,5,1,3,28,13,0.22200000000000003,"Hardware targets achieved: fidelity=0.978, gates=10, depth=5",18
epsilon_lexicase,000,29440,10,0.9809,11,6,2,2,25,11,0.2391,"Hardware targets achieved: fidelity=0.981, gates=11, depth=6",15
epsilon_lexicase,000,47182,2,0.9898,3,1,0,4,43,20,0.07019999999999998,"Hardware targets achieved: fidelity=0.990, gates=3, depth=1",38
epsilon_lexicase,000,80248,8,0.9791,11,6,2,2,25,11,0.24090000000000003,"Hardware targets achieved: fidelity=0.979, gates=11, depth=6",15
epsilon_lexicase,001,21315,1,0.9793,10,5,2,2,28,13,0.22070000000000006,"Hardware targets achieved: fidelity=0.979, gates=10, depth=5",25
epsilon_lexicase,001,74135,6,0.9652,10,5,0,4,43,20,0.23480000000000006,"Hardware targets achieved: fidelity=0.965, gates=10, depth=5",27
epsilon_lexicase,001,91197,9,0.98,6,4,1,3,35,16,0.14,"Hardware targets achieved: fidelity=0.980, gates=6, depth=4",19
epsilon_lexicase,001,33537,4,0.9794,10,5,2,2,26,12,0.22059999999999996,"Hardware targets achieved: fidelity=0.979, gates=10, depth=5",15
epsilon_lexicase,001,12147,3,0.9901,4,2,0,4,28,14,0.08990000000000002,"Hardware targets achieved: fidelity=0.990, gates=4, depth=2",21
epsilon_lexicase,001,67154,7,0.9774,10,6,2,2,25,11,0.22259999999999996,"Hardware targets achieved: fidelity=0.977, gates=10, depth=6",31
epsilon_lexicase,001,70300,5,0.9796,5,2,0,4,43,20,0.12039999999999998,"Hardware targets achieved: fidelity=0.980, gates=5, depth=2",43
epsilon_lexicase,001,29440,10,0.9799,10,6,2,2,27,11,0.22010000000000002,"Hardware targets achieved: fidelity=0.980, gates=10, depth=6",15
epsilon_lexicase,001,47182,2,0.9885,5,2,0,2,32,17,0.11149999999999996,"Hardware targets achieved: fidelity=0.989, gates=5, depth=2",41
epsilon_lexicase,001,80248,8,0.9764,10,6,2,2,25,11,0.22359999999999997,"Hardware targets achieved: fidelity=0.976, gates=10, depth=6",15
epsilon_lexicase,010,21315,1,0.9769,13,7,1,6,58,27,0.2831,"Hardware targets achieved: fidelity=0.977, gates=13, depth=7",29
epsilon_lexicase,010,74135,6,0.9803,10,6,1,5,43,21,0.21970000000000006,"Hardware targets achieved: fidelity=0.980, gates=10, depth=6",17
epsilon_lexicase,010,91197,9,0.9778,9,6,2,2,25,11,0.2022,"Hardware targets achieved: fidelity=0.978, gates=9, depth=6",19
epsilon_lexicase,010,33537,4,0.9818,8,5,1,4,41,19,0.1782,"Hardware targets achieved: fidelity=0.982, gates=8, depth=5",82
epsilon_lexicase,010,12147,3,0.9782,10,5,2,2,25,11,0.22180000000000005,"Hardware targets achieved: fidelity=0.978, gates=10, depth=5",17
