arm,state,deployed_seed,deployed_fidelity,deployed_depth,deployed_gates,deployed_2q,hw_p_marked,success_k,n_runs,fid_mean,fid_std,mean_stop_gen_all
epsilon_lexicase,000,47182,0.989800,1,3,0,0.9918,10,10,0.980340,0.005433,23.3
epsilon_lexicase,001,12147,0.990100,2,4,0,0.991,10,10,0.979580,0.006768,25.2
epsilon_lexicase,010,33537,0.981800,5,8,1,0.9731,10,10,0.978060,0.002420,26.8
epsilon_lexicase,011,47182,0.980100,4,8,1,0.9733,10,10,0.976990,0.002517,27.1
epsilon_lexicase,100,29440,0.988100,5,8,0,0.9806,10,10,0.978460,0.008466,31.1
epsilon_lexicase,101,80248,0.989500,3,6,0,0.9853,10,10,0.975440,0.011311,30.0
epsilon_lexicase,110,33537,0.985900,2,6,0,0.984,9,10,0.975050,0.017695,36.3
epsilon_lexicase,111,12147,0.981400,10,19,3,0.9304,10,10,0.971970,0.012267,27.6
lexi2,000,47182,0.983400,2,5,0,0.9696,7,10,0.944840,0.101754,54.9
lexi2,001,33537,0.981900,7,12,2,0.9766,8,10,0.934940,0.136715,48.5
lexi2,010,80248,0.985100,3,5,0,0.9798,9,10,0.978250,0.002887,47.4
lexi2,011,91197,0.988700,2,5,0,0.98,5,10,0.889790,0.184286,67.5
lexi2,100,29440,0.986900,3,6,0,0.9815,8,10,0.976440,0.007463,60.4
lexi2,101,21315,0.982000,3,7,0,0.9793,5,10,0.830530,0.198264,66.7
lexi2,110,21315,0.980500,6,11,1,0.9726,8,10,0.886030,0.195457,49.0
lexi2,111,21315,0.987600,3,7,0,0.97,5,10,0.811940,0.222900,71.9
tournament,000,80248,0.989500,1,3,0,0.9894,10,10,0.980970,0.004515,19.8
tournament,001,80248,0.988100,2,5,0,0.9833,10,10,0.974330,0.008824,25.1
tournament,010,80248,0.984600,3,5,0,0.9818,9,10,0.976470,0.006186,35.2
tournament,011,70300,0.979700,15,22,5,0.9239,8,10,0.972130,0.008303,39.6
tournament,100,80248,0.988300,2,4,0,0.9844,10,10,0.975310,0.010230,27.3
tournament,101,47182,0.981900,5,8,2,0.9658,10,10,0.973950,0.009336,30.0
tournament,110,12147,0.979300,6,10,2,0.9687,10,10,0.976860,0.002183,39.4
tournament,111,67154,0.979400,5,8,2,0.968,8,10,0.952380,0.071663,52.4
