generation,n_selections,mean_pool_size_all,median_pool_size_all,share_pool_eq_1,share_pool_ge_3
0,23920,1.0161,1.0,0.9862,0.0023
1,23920,3.8116,1.0,0.5671,0.3248
2,23920,4.6749,2.0,0.4547,0.434
3,23920,5.2937,3.0,0.3694,0.5247
4,23920,5.3535,3.0,0.3237,0.5632
5,23920,5.748,3.0,0.3337,0.5709
6,23920,6.202,5.0,0.2995,0.6166
7,23920,6.5959,6.0,0.2627,0.6581
8,23920,6.67,6.0,0.2215,0.6999
9,23920,7.0774,7.0,0.2139,0.7132
10,23920,7.2587,7.0,0.2124,0.7176
11,23920,7.4857,7.0,0.1745,0.7462
12,23920,7.5513,7.0,0.1704,0.7591
13,23920,7.589,7.0,0.1581,0.7585
14,23920,7.6759,7.0,0.1568,0.7755
15,23920,8.1558,8.0,0.1342,0.8211
16,23322,8.7321,9.0,0.1225,0.8196
17,23023,8.5195,8.0,0.1255,0.826
18,22724,8.3253,8.0,0.1093,0.8337
19,22425,8.358,8.0,0.1185,0.8191
20,22425,8.494,8.0,0.108,0.8356
21,22425,8.8978,9.0,0.0992,0.8441
22,21827,8.8949,9.0,0.0942,0.8556
23,21528,8.9822,9.0,0.0833,0.8704
24,21528,8.6944,8.0,0.1063,0.8538
25,21528,8.7075,9.0,0.1019,0.8577
26,20631,8.6108,8.0,0.1205,0.8317
27,20631,8.2144,8.0,0.1366,0.8026
28,20631,8.6052,9.0,0.0908,0.8503
29,19734,8.1244,8.0,0.113,0.8273
30,19435,8.6017,8.0,0.0982,0.8516
31,18239,8.2244,8.0,0.106,0.8169
32,17342,8.3107,8.0,0.1097,0.8241
33,17342,8.4686,8.0,0.1064,0.8283
34,16744,8.3225,8.0,0.1127,0.8186
35,16445,8.6538,9.0,0.086,0.8514
36,16146,8.5943,8.0,0.1032,0.8489
37,15249,8.5547,9.0,0.1057,0.8438
38,14950,8.6678,8.0,0.0895,0.8429
39,14651,8.359,8.0,0.098,0.8603
40,13754,8.1872,8.0,0.0827,0.8591
41,13754,7.9815,8.0,0.1102,0.8455
42,13754,8.5127,8.0,0.1091,0.8508
43,13455,8.2551,8.0,0.1051,0.8197
44,13455,8.4789,8.0,0.0825,0.8652
45,13455,8.37,8.0,0.0769,0.8653
46,12259,7.9847,8.0,0.0707,0.8594
47,11960,8.2339,8.0,0.0834,0.8698
48,11362,7.9227,7.0,0.0947,0.8489
49,11362,8.3027,8.0,0.0926,0.8454
50,11063,8.1866,8.0,0.0875,0.8551
51,11063,7.9279,8.0,0.1015,0.8206
52,11063,7.8854,7.0,0.0821,0.8545
53,11063,7.6355,7.0,0.104,0.8542
54,11063,7.9902,8.0,0.1196,0.8267
55,11063,7.6117,7.0,0.1049,0.832
56,11063,8.0156,8.0,0.0804,0.868
57,10465,7.843,7.0,0.0736,0.8656
58,10166,8.1175,7.0,0.0869,0.8491
59,10166,8.1247,8.0,0.0721,0.8775
60,9867,8.0895,7.0,0.0889,0.8405
61,9568,7.827,7.0,0.0982,0.8463
62,9568,8.1838,8.0,0.0722,0.8567
63,9568,7.6223,7.0,0.0791,0.8399
64,8970,7.4272,7.0,0.1018,0.7674
65,8671,7.6491,7.0,0.0788,0.8651
66,8671,7.8585,7.0,0.0871,0.8397
67,8671,7.8095,7.0,0.0832,0.8497
68,8372,7.8655,7.0,0.0541,0.885
69,8372,7.5635,7.0,0.0809,0.8494
70,8372,7.4011,7.0,0.1014,0.8408
71,8372,7.6771,7.0,0.0997,0.8291
72,8372,7.2137,7.0,0.1001,0.8114
73,8372,7.6493,7.0,0.1138,0.8319
74,8372,7.2849,7.0,0.0898,0.8231
75,8372,8.0576,8.0,0.0701,0.8795
76,8073,7.4051,6.0,0.11,0.8112
77,8073,7.285,7.0,0.0977,0.8086
78,8073,7.5263,7.0,0.1233,0.8075
79,8073,7.4409,7.0,0.1047,0.8227
80,8073,7.86,8.0,0.0761,0.8367
81,8073,7.9035,7.0,0.0866,0.8723
82,8073,7.3299,7.0,0.0954,0.8416
83,8073,7.9362,7.0,0.1128,0.8481
84,8073,7.826,7.0,0.0839,0.8541
85,8073,7.9715,8.0,0.0735,0.861
86,8073,7.7982,7.0,0.1038,0.8381
87,7774,7.7097,7.0,0.0899,0.8198
88,7774,7.152,6.0,0.1086,0.8234
89,7774,7.3782,7.0,0.0828,0.8362
90,7774,7.1271,6.0,0.1411,0.7961
91,7475,6.8965,6.0,0.1005,0.812
92,7475,7.6685,8.0,0.0787,0.8417
93,7475,7.0368,7.0,0.1211,0.8064
94,7475,6.9988,6.0,0.0954,0.8348
95,7475,7.278,7.0,0.1092,0.8242
96,7475,7.4225,7.0,0.1156,0.828
97,7475,7.0883,7.0,0.1046,0.8229
98,7475,6.9688,6.0,0.0974,0.8274
99,7475,7.0436,7.0,0.0918,0.836
